Part;Value;Device;Package;Description;ALLIED_NUMBER;ALLIED_PRICE-STOCK;AVAILABILITY;CATEGORY;DESCRIPTION;FORWARD_CURRENT;HEIGHT;MANUFACTURER;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MF;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;MP;MPN;OC_FARNELL;OC_NEWARK;OPERATING_TEMP;PACKAGE;PART_STATUS;POPULARITY;PRICE;REVERSE_VOLTAGE;ROHS_COMPLIANT;RS_PART_NUMBER;RS_PRICE-STOCK;SERIES;SPICEPREFIX;SUB-CATEGORY;THERMALLOSS;TYPE;ZENER_VOLTAGE
RB4A;6R8;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;86;;;;;;;R;;;;
RB5A;6R8;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;86;;;;;;;R;;;;
RB6A;6R8;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;86;;;;;;;R;;;;
RB7A;6R8;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;86;;;;;;;R;;;;
RB8A;6R8;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;86;;;;;;;R;;;;
RB9A;6R8;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;86;;;;;;;R;;;;
RF1;9k1 0.1%;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF2;9k1 0.1%;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF3;9k1 0.1%;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF4;9k1 0.1%;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF5;9k1 0.1%;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF6;9k1 0.1%;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF7;9k1 0.1%;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF8;9k1 0.1%;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RF9;9k1 0.1%;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S2;KSS221GLFS;KSS221GLFS;KSS;IP40 Side Tactile Switch, SPST-NO 50 mA;;;;;IP40 Side Tactile Switch, SPST-NO 50 mA;;mm;;C & K COMPONENTS;KSS221GLFS;;;;;;;;;;;;;;;7931689P;http://uk.rs-online.com/web/p/products/7931689P;;;;;;
